"Artikelnummer";"Artikelname";"Interner Schlüssel";"GTIN";"HAN";"Eigene ID";"Kategorie Ebene 1";"Kategorie Ebene 2";"Kategorie Ebene 3";"Kategorie Ebene 4";"Kategorie Ebene 5";"Kategorie Ebene 6";"Kategorie Ebene 7";"Kategorie Ebene 8";"Kategorie Ebene 9";"Kategorie Ebene 10";"URL-Pfad";"Beschreibung";"Title-Tag";"Meta-Description";"Meta-Keywords";
"205222";"Schokoladenhasen am Stiel";"262";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"205220";"Osterhase";"261";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"205217";"Ja! Schokokeks Zartbitter 125g";"260";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"205215";"Ja! Schokokeks Vollmilch 125g";"259";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"100410";"H-Milch Rewe Bio 1L 3,8%";"258";;;;"01 Getränke";"1.2 Kaffee & Milchprodukte";;;;;;;;;;;;;;
"205210";"Trolli Apfelringe/Glühwürmchen";"257";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"604110";"Toffifee 125g";"256";;;;"02 Snacks";"2.1 Snacks Süß";;;;;;;;;;;;;;
"604350";"Focaccia Italiana (Käse Ruccola)";"255";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"603210";"Zutat - Wurst div.";"254";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"604920";"Wurstsemmel";"253";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"604910";"Käsesemmel";"252";;;;"06 Essen";"6.2 Backwaren";;;;;;;;;;;;;;
"603382";"Zutat - Butter";"251";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
"603386";"Zutat - Laugenstange";"250";;;;"06 Essen";"6.1 Zutaten";;;;;;;;;;;;;;
